"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Hirtius/Caesar, On the Alexandrian War",-40.0,51.0,182.0,
"Homer, Iliad",-700.0,285.0,1796.0,
"Homer, Odyssey",-700.0,108.0,566.0,
Homeric Hymn to Aphrodite,-600.0,5.0,11.0,
Homeric Hymn to Aphrodite 2,-600.0,1.0,1.0,
Homeric Hymn to Aphrodite3,-600.0,2.0,2.0,
Homeric Hymn to Apollo,-600.0,78.0,122.0,
Homeric Hymn to Apollo 2,-600.0,1.0,1.0,
Homeric Hymn to Ares,-600.0,1.0,1.0,
Homeric Hymn to Artemis,-600.0,3.0,3.0,
Homeric Hymn to Artemis 2,-600.0,1.0,1.0,
Homeric Hymn to Asclepius,-600.0,1.0,1.0,
Homeric Hymn to Athena,-600.0,0.0,0.0,
Homeric Hymn to Athena 2,-600.0,1.0,1.0,
Homeric Hymn to Demeter,-600.0,9.0,19.0,
Homeric Hymn to Demeter 2,-600.0,0.0,0.0,
Homeric Hymn to Dionysus,-600.0,8.0,8.0,
Homeric Hymn to Dionysus 2,-600.0,3.0,3.0,
Homeric Hymn to Dionysus 3,-600.0,1.0,1.0,
Homeric Hymn to Gaia,-600.0,0.0,0.0,
Homeric Hymn to Helios,-600.0,0.0,0.0,
Homeric Hymn to Hephaestus,-600.0,0.0,0.0,
Homeric Hymn to Hera,-600.0,1.0,1.0,
Homeric Hymn to Heracles with the heart of a lion,-600.0,2.0,2.0,
Homeric Hymn to Hermes,-600.0,10.0,26.0,
Homeric Hymn to Hermes 2,-600.0,2.0,3.0,
Homeric Hymn to Hestia,-600.0,1.0,1.0,
Homeric Hymn to Hestia 2,-600.0,0.0,0.0,
Homeric Hymn to Pan,-600.0,3.0,3.0,
Homeric Hymn to Poseidon,-600.0,2.0,2.0,
Homeric Hymn to Selene,-600.0,0.0,0.0,
Homeric Hymn to the Dioscuri,-600.0,1.0,1.0,
Homeric Hymn to the Dioscuri 2,-600.0,1.0,1.0,
Homeric Hymn to the mother of the gods,-600.0,0.0,0.0,
Homeric Hymn to the Muses and Apollo,-600.0,0.0,0.0,
Homeric Hymn to Zeus,-600.0,0.0,0.0,
"Horace, Ars Poetica",-8.0,14.0,16.0,
"Horace, Epistles",-11.0,83.0,133.0,
"Horace, Odes",-13.0,168.0,380.0,
"Horace, Satires",-30.0,76.0,120.0,
"Hyginus, Astronomica",151.0,76.0,124.0,
"Hyginus, Fabulae",150.0,227.0,578.0,
"Hypereides, Against Athenogenes",-326.0,7.0,10.0,
"Hypereides, Against Demosthenes",-324.0,16.0,23.0,
"Hypereides, Against Philippides",-337.0,5.0,8.0,
"Hypereides, For Euxenippus",-330.0,16.0,30.0,
"Hypereides, For Lycophron",-330.0,6.0,10.0,
"Hypereides, Funeral Oration for Leosthenes",-323.0,12.0,22.0,
"Iamblichus, Life of Pythagoras",300.0,98.0,283.0,
"Ioannis Tzetzes, Histories or Chiliades",1150.0,404.0,1601.0,
"Isaeus 1, On the Estate of Cleonymos",-375.0,2.0,2.0,
"Isaeus 10, On the Estate of Aristarchos",-375.0,2.0,2.0,
"Isaeus 11, On the Estate of Hagnias",-375.0,8.0,11.0,
"Isaeus 12, For Euphiletos",-375.0,4.0,7.0,
"Isaeus 2, On the Estate of Menecles",-375.0,5.0,5.0,
"Isaeus 3, On the Estate of Pyrrhos",-375.0,7.0,8.0,
"Isaeus 4, On the Estate of Nicostratos",-375.0,4.0,7.0,
"Isaeus 5, On the Estate of Dicaeogenes",-375.0,18.0,25.0,
"Isaeus 6, On the Estate of Philoctemones",-375.0,13.0,19.0,
"Isaeus 7, On the Estate of Apollodoros",-375.0,4.0,5.0,
"Isaeus 8, On the Estate of Ciron",-375.0,6.0,9.0,
"Isaeus 9, On the Estate of Astyphilos",-375.0,7.0,9.0,
"Isidoros of Charax, Parthian Stations",-1.0,23.0,43.0,
"Isocrates 10, Busiris",-385.0,5.0,23.0,
"Isocrates 11, Panegyricus",-380.0,57.0,160.0,
"Isocrates 12, Plataicus",-371.0,18.0,84.0,
"Isocrates 14, Nicocles or the Cyprians",-370.0,7.0,7.0,
"Isocrates 15, Evagoras of Salamis",-365.0,14.0,35.0,
"Isocrates 16, Archidamus",-366.0,35.0,98.0,
"Isocrates 17, On the Peace",-355.0,36.0,100.0,
"Isocrates 18, Areopagiticus",-357.0,13.0,38.0,
"Isocrates 19, Antidosis",-354.0,33.0,111.0,
"Isocrates 2, Against Callimachus",-401.0,7.0,20.0,
"Isocrates 20, To Philip",-346.0,42.0,114.0,
"Isocrates 21, Panathenaicus",-342.0,35.0,212.0,
"Isocrates 4, On the Team of Horses",-396.0,13.0,37.0,
"Isocrates 5, Trapeziticus",-392.0,11.0,31.0,
"Isocrates 6, Aegineticus",-390.0,8.0,22.0,
"Isocrates 8, Against the Sophists",-390.0,0.0,0.0,
"Isocrates 9, Helen",-385.0,16.0,26.0,
"Jordanes, Getica",550.0,165.0,528.0,
"Julian the Emperor, Letter to the Senate and People of Athens",361.0,22.0,31.0,
"Julian the Emperor, Letters",363.0,90.0,168.0,
"Julian the Emperor, Misopogon",362.0,41.0,59.0,
"Julius Caesar, Civil War",-46.0,88.0,271.0,
"Julius Caesar, Gallic Wars",-50.0,98.0,891.0,
"Julius Obsequens, On Prodigies",300.0,143.0,301.0,
"Justin, History of the World",250.0,243.0,1212.0,
"Juvenal, Satires",130.0,196.0,390.0,
"L. Annaeus Cornutus, Greek Theology",60.0,25.0,30.0,
"Lactantius, Divine Institutes",310.0,106.0,259.0,
"Libanius, Monody on the Temple of Apollo at Daphne",362.0,4.0,8.0,
"Libanius, Oration In Praise Of Antioch (Oration XI)",360.0,58.0,143.0,
"Livy, History of Rome",16.0,995.0,12530.0,
"Livy, Periochae, History of Rome",50.0,155.0,420.0,
"Longus, Daphnis and Chloe",150.0,8.0,36.0,
"Lucan, Pharsalia",65.0,318.0,1172.0,
"Lucian (?), Praise of Demosthenes",180.0,42.0,84.0,
"Lucian, Syrian Goddess (De Syria Dea)",180.0,30.0,82.0,
"Lucian, Alexander the False Prophet",180.0,48.0,101.0,
"Lucian, Anacharsis or Athletics",180.0,13.0,29.0,
"Lucian, Charon or The Inspectors (Contemplantes)",180.0,40.0,58.0,
"Lucian, Consonants at Law (Iudicium Vocalium)",180.0,8.0,9.0,
"Lucian, Dance (De Saltatione)",180.0,50.0,73.0,
"Lucian, Dialogues of Courtesans (Dialogi Meretricii)",180.0,40.0,50.0,
"Lucian, Dialogues of the Dead (Dialogi Mortuorum)",180.0,64.0,81.0,
"Lucian, Dialogues of the Sea-Gods (Dialogi Marini)",180.0,26.0,29.0,
"Lucian, Double Indictment or Trials by Jury (Bis accusatus)",180.0,35.0,59.0,
"Lucian, Essays in Portraiture (Imagines)",180.0,14.0,20.0,
"Lucian, Essays in Portraiture Defended (Pro Imaginibus)",180.0,9.0,13.0,
"Lucian, Fisherman (Piscator)",180.0,21.0,32.0,
"Lucian, Hermotimus",180.0,22.0,34.0,
"Lucian, How to Write History (Quomodo Historia conscribenda sit)",180.0,53.0,87.0,
"Lucian, Icaromenippus or The Sky-man",180.0,52.0,66.0,
"Lucian, Ignorant Book-Collector (Adversus Indoctum)",180.0,20.0,24.0,
"Lucian, Macrobii",180.0,0.0,0.0,
"Lucian, Menippus or Descent Into Hades (Necyomantia)",180.0,19.0,22.0,
"Lucian, On Sacrifices (De Sacrificiis)",180.0,23.0,28.0,
"Lucian, Parliament of the Gods (Deorum Concilium)",180.0,17.0,18.0,
"Lucian, Passing of Peregrinus",180.0,21.0,37.0,
"Lucian, Phalaris",180.0,14.0,31.0,
"Lucian, Philosophies for Sale (Vitarum auctio)",180.0,12.0,15.0,
"Lucian, Runaways (Fugitivi)",180.0,22.0,25.0,
"Lucian, Scythian or the Consul",180.0,11.0,27.0,
"Lucian, Ship or Wishes (Navigium)",180.0,54.0,87.0,
"Lucian, Slander, A Warning (Calumniae ...)",180.0,6.0,7.0,
"Lucian, Slander, Symposium",180.0,7.0,8.0,
"Lucian, the Hall (De Domo)",180.0,11.0,13.0,
"Lucian, Timon or The Misanthrope",180.0,16.0,29.0,
"Lucian, Toxaris or Friendship (Amicitia)",180.0,35.0,94.0,
"Lucian, Zeus Rants (Jupiter Tragoedus)",180.0,35.0,45.0,
